Index,Notes (scalar),Notes (radial),PC Set,Prime Form,Forte class,Accidents,1,2,3,4,5,6
210100,Cb D# En Fb Gn Ab Bb,D# Cb Bb En Fb Gn Ab,B34478A,013478,6-19,"(0, 2, 1, 0, 1, 0, 0)",3,1,3,4,3,1
210101,Cb D# En Fb Gn Ab Bn,D# Cb Bn En Fb Gn Ab,B34478B,01458,5-21,"(0, 2, 1, 0, 1, 0, 1)",2,0,2,4,2,0
210102,Cb D# En Fb Gn Ab B#,D# Cb B# En Fb Gn Ab,B344780,014589,6-20,"(0, 2, 1, 0, 1, 0, 2)",3,0,3,6,3,0
210110,Cb D# En Fb Gn An Bb,D# Cb Bb En Fb Gn An,B34479A,012478,6-17,"(0, 2, 1, 0, 1, 1, 0)",3,2,2,3,3,2
210111,Cb D# En Fb Gn An Bn,D# Cb Bn En Fb Gn An,B34479B,01468,5-30,"(0, 2, 1, 0, 1, 1, 1)",1,2,1,3,2,1
210112,Cb D# En Fb Gn An B#,D# Cb B# En Fb Gn An,B344790,014579,6-31,"(0, 2, 1, 0, 1, 1, 2)",2,2,3,4,3,1
210120,Cb D# En Fb Gn A# Bb,D# Cb Bb En Fb Gn A#,B3447AA,01478,5-22,"(0, 2, 1, 0, 1, 2, 0)",2,0,2,3,2,1
210121,Cb D# En Fb Gn A# Bn,D# Cb Bn En Fb Gn A#,B3447AB,01478,5-22,"(0, 2, 1, 0, 1, 2, 1)",2,0,2,3,2,1
210122,Cb D# En Fb Gn A# B#,D# Cb B# En Fb Gn A#,B3447A0,012569,6-44,"(0, 2, 1, 0, 1, 2, 2)",3,1,3,4,3,1
210200,Cb D# En Fb G# Ab Bb,D# Cb Bb En Fb G# Ab,B34488A,01568,5-20,"(0, 2, 1, 0, 2, 0, 0)",2,1,1,2,3,1
210201,Cb D# En Fb G# Ab Bn,D# Cb Bn En Fb G# Ab,B34488B,0158,4-20,"(0, 2, 1, 0, 2, 0, 1)",1,0,1,2,2,0
210202,Cb D# En Fb G# Ab B#,D# Cb B# En Fb G# Ab,B344880,01458,5-21,"(0, 2, 1, 0, 2, 0, 2)",2,0,2,4,2,0
210210,Cb D# En Fb G# An Bb,D# Cb Bb En Fb G# An,B34489A,012378,6-38,"(0, 2, 1, 0, 2, 1, 0)",4,2,1,2,4,2
210211,Cb D# En Fb G# An Bn,D# Cb Bn En Fb G# An,B34489B,01568,5-20,"(0, 2, 1, 0, 2, 1, 1)",2,1,1,2,3,1
210212,Cb D# En Fb G# An B#,D# Cb B# En Fb G# An,B344890,013478,6-19,"(0, 2, 1, 0, 2, 1, 2)",3,1,3,4,3,1
210220,Cb D# En Fb G# A# Bb,D# Cb Bb En Fb G# A#,B3448AA,01568,5-20,"(0, 2, 1, 0, 2, 2, 0)",2,1,1,2,3,1
210221,Cb D# En Fb G# A# Bn,D# Cb Bn En Fb G# A#,B3448AB,01568,5-20,"(0, 2, 1, 0, 2, 2, 1)",2,1,1,2,3,1
210222,Cb D# En Fb G# A# B#,D# Cb B# En Fb G# A#,B3448A0,014568,6-16,"(0, 2, 1, 0, 2, 2, 2)",3,2,2,4,3,1
211000,Cb D# En Fn Gb Ab Bb,D# Cb Bb En Fn Gb Ab,B34568A,0123578,7-14,"(0, 2, 1, 1, 0, 0, 0)",4,4,3,3,5,2
211001,Cb D# En Fn Gb Ab Bn,D# Cb Bn En Fn Gb Ab,B34568B,012358,6-40,"(0, 2, 1, 1, 0, 0, 1)",3,3,3,2,3,1
211002,Cb D# En Fn Gb Ab B#,D# Cb B# En Fn Gb Ab,B345680,0123589,7-18,"(0, 2, 1, 1, 0, 0, 2)",4,3,4,4,4,2
211010,Cb D# En Fn Gb An Bb,D# Cb Bb En Fn Gb An,B34569A,0123678,7-7,"(0, 2, 1, 1, 0, 1, 0)",5,3,2,3,5,3
211011,Cb D# En Fn Gb An Bn,D# Cb Bn En Fn Gb An,B34569B,012368,6-41,"(0, 2, 1, 1, 0, 1, 1)",3,3,2,2,3,2
211012,Cb D# En Fn Gb An B#,D# Cb B# En Fn Gb An,B345690,0123679,7-19,"(0, 2, 1, 1, 0, 1, 2)",4,3,4,3,4,3
211020,Cb D# En Fn Gb A# Bb,D# Cb Bb En Fn Gb A#,B3456AA,012378,6-38,"(0, 2, 1, 1, 0, 2, 0)",4,2,1,2,4,2
211021,Cb D# En Fn Gb A# Bn,D# Cb Bn En Fn Gb A#,B3456AB,012378,6-38,"(0, 2, 1, 1, 0, 2, 1)",4,2,1,2,4,2
211022,Cb D# En Fn Gb A# B#,D# Cb B# En Fn Gb A#,B3456A0,0123678,7-7,"(0, 2, 1, 1, 0, 2, 2)",5,3,2,3,5,3
211100,Cb D# En Fn Gn Ab Bb,D# Cb Bb En Fn Gn Ab,B34578A,0124578,7-38,"(0, 2, 1, 1, 1, 0, 0)",4,3,4,4,4,2
211101,Cb D# En Fn Gn Ab Bn,D# Cb Bn En Fn Gn Ab,B34578B,012458,6-15,"(0, 2, 1, 1, 1, 0, 1)",3,2,3,4,2,1
211102,Cb D# En Fn Gn Ab B#,D# Cb B# En Fn Gn Ab,B345780,0124589,7-21,"(0, 2, 1, 1, 1, 0, 2)",4,2,4,6,4,1
211110,Cb D# En Fn Gn An Bb,D# Cb Bb En Fn Gn An,B34579A,0124678,7-15,"(0, 2, 1, 1, 1, 1, 0)",4,4,2,4,4,3
211111,Cb D# En Fn Gn An Bn,D# Cb Bn En Fn Gn An,B34579B,012468,6-22,"(0, 2, 1, 1, 1, 1, 1)",2,4,1,4,2,2
211112,Cb D# En Fn Gn An B#,D# Cb B# En Fn Gn An,B345790,0124689,7-30,"(0, 2, 1, 1, 1, 1, 2)",3,4,3,5,4,2
211120,Cb D# En Fn Gn A# Bb,D# Cb Bb En Fn Gn A#,B3457AA,012478,6-17,"(0, 2, 1, 1, 1, 2, 0)",3,2,2,3,3,2
211121,Cb D# En Fn Gn A# Bn,D# Cb Bn En Fn Gn A#,B3457AB,012478,6-17,"(0, 2, 1, 1, 1, 2, 1)",3,2,2,3,3,2
211122,Cb D# En Fn Gn A# B#,D# Cb B# En Fn Gn A#,B3457A0,0125679,7-20,"(0, 2, 1, 1, 1, 2, 2)",4,3,3,4,5,2
211200,Cb D# En Fn G# Ab Bb,D# Cb Bb En Fn G# Ab,B34588A,012578,6-18,"(0, 2, 1, 1, 2, 0, 0)",3,2,2,2,4,2
211201,Cb D# En Fn G# Ab Bn,D# Cb Bn En Fn G# Ab,B34588B,01258,5-38,"(0, 2, 1, 1, 2, 0, 1)",2,1,2,2,2,1
211202,Cb D# En Fn G# Ab B#,D# Cb B# En Fn G# Ab,B345880,012569,6-44,"(0, 2, 1, 1, 2, 0, 2)",3,1,3,4,3,1
211210,Cb D# En Fn G# An Bb,D# Cb Bb En Fn G# An,B34589A,0123678,7-7,"(0, 2, 1, 1, 2, 1, 0)",5,3,2,3,5,3
211211,Cb D# En Fn G# An Bn,D# Cb Bn En Fn G# An,B34589B,012568,6-43,"(0, 2, 1, 1, 2, 1, 1)",3,2,2,3,3,2
211212,Cb D# En Fn G# An B#,D# Cb B# En Fn G# An,B345890,0125689,7-22,"(0, 2, 1, 1, 2, 1, 2)",4,2,4,5,4,2
211220,Cb D# En Fn G# A# Bb,D# Cb Bb En Fn G# A#,B3458AA,012578,6-18,"(0, 2, 1, 1, 2, 2, 0)",3,2,2,2,4,2
211221,Cb D# En Fn G# A# Bn,D# Cb Bn En Fn G# A#,B3458AB,012578,6-18,"(0, 2, 1, 1, 2, 2, 1)",3,2,2,2,4,2
211222,Cb D# En Fn G# A# B#,D# Cb B# En Fn G# A#,B3458A0,0125679,7-20,"(0, 2, 1, 1, 2, 2, 2)",4,3,3,4,5,2
212000,Cb D# En F# Gb Ab Bb,D# Cb Bb En F# Gb Ab,B34668A,013578,6-26,"(0, 2, 1, 2, 0, 0, 0)",2,3,2,3,4,1
212001,Cb D# En F# Gb Ab Bn,D# Cb Bn En F# Gb Ab,B34668B,01358,5-27,"(0, 2, 1, 2, 0, 0, 1)",1,2,2,2,3,0
212002,Cb D# En F# Gb Ab B#,D# Cb B# En F# Gb Ab,B346680,014579,6-31,"(0, 2, 1, 2, 0, 0, 2)",2,2,3,4,3,1
212010,Cb D# En F# Gb An Bb,D# Cb Bb En F# Gb An,B34669A,012578,6-18,"(0, 2, 1, 2, 0, 1, 0)",3,2,2,2,4,2
212011,Cb D# En F# Gb An Bn,D# Cb Bn En F# Gb An,B34669B,01368,5-29,"(0, 2, 1, 2, 0, 1, 1)",1,2,2,1,3,1
212012,Cb D# En F# Gb An B#,D# Cb B# En F# Gb An,B346690,023679,6-Z29,"(0, 2, 1, 2, 0, 1, 2)",2,2,4,2,3,2
212020,Cb D# En F# Gb A# Bb,D# Cb Bb En F# Gb A#,B3466AA,01568,5-20,"(0, 2, 1, 2, 0, 2, 0)",2,1,1,2,3,1
212021,Cb D# En F# Gb A# Bn,D# Cb Bn En F# Gb A#,B3466AB,01568,5-20,"(0, 2, 1, 2, 0, 2, 1)",2,1,1,2,3,1
212022,Cb D# En F# Gb A# B#,D# Cb B# En F# Gb A#,B3466A0,012568,6-43,"(0, 2, 1, 2, 0, 2, 2)",3,2,2,3,3,2
212100,Cb D# En F# Gn Ab Bb,D# Cb Bb En F# Gn Ab,B34678A,0134578,7-37,"(0, 2, 1, 2, 1, 0, 0)",4,3,4,5,4,1
212101,Cb D# En F# Gn Ab Bn,D# Cb Bn En F# Gn Ab,B34678B,013458,6-14,"(0, 2, 1, 2, 1, 0, 1)",3,2,3,4,3,0
212102,Cb D# En F# Gn Ab B#,D# Cb B# En F# Gn Ab,B346780,0124589,7-21,"(0, 2, 1, 2, 1, 0, 2)",4,2,4,6,4,1
212110,Cb D# En F# Gn An Bb,D# Cb Bb En F# Gn An,B34679A,0124578,7-38,"(0, 2, 1, 2, 1, 1, 0)",4,3,4,4,4,2
212111,Cb D# En F# Gn An Bn,D# Cb Bn En F# Gn An,B34679B,013468,6-24,"(0, 2, 1, 2, 1, 1, 1)",2,3,3,3,3,1
212112,Cb D# En F# Gn An B#,D# Cb B# En F# Gn An,B346790,0134689,7-32,"(0, 2, 1, 2, 1, 1, 2)",3,3,5,4,4,2
212120,Cb D# En F# Gn A# Bb,D# Cb Bb En F# Gn A#,B3467AA,013478,6-19,"(0, 2, 1, 2, 1, 2, 0)",3,1,3,4,3,1
212121,Cb D# En F# Gn A# Bn,D# Cb Bn En F# Gn A#,B3467AB,013478,6-19,"(0, 2, 1, 2, 1, 2, 1)",3,1,3,4,3,1
212122,Cb D# En F# Gn A# B#,D# Cb B# En F# Gn A#,B3467A0,0125689,7-22,"(0, 2, 1, 2, 1, 2, 2)",4,2,4,5,4,2
212200,Cb D# En F# G# Ab Bb,D# Cb Bb En F# G# Ab,B34688A,013578,6-26,"(0, 2, 1, 2, 2, 0, 0)",2,3,2,3,4,1
212201,Cb D# En F# G# Ab Bn,D# Cb Bn En F# G# Ab,B34688B,01358,5-27,"(0, 2, 1, 2, 2, 0, 1)",1,2,2,2,3,0
212202,Cb D# En F# G# Ab B#,D# Cb B# En F# G# Ab,B346880,014579,6-31,"(0, 2, 1, 2, 2, 0, 2)",2,2,3,4,3,1
212210,Cb D# En F# G# An Bb,D# Cb Bb En F# G# An,B34689A,0123578,7-14,"(0, 2, 1, 2, 2, 1, 0)",4,4,3,3,5,2
212211,Cb D# En F# G# An Bn,D# Cb Bn En F# G# An,B34689B,013568,6-25,"(0, 2, 1, 2, 2, 1, 1)",2,3,3,2,4,1
212212,Cb D# En F# G# An B#,D# Cb B# En F# G# An,B346890,0134689,7-32,"(0, 2, 1, 2, 2, 1, 2)",3,3,5,4,4,2
212220,Cb D# En F# G# A# Bb,D# Cb Bb En F# G# A#,B3468AA,013578,6-26,"(0, 2, 1, 2, 2, 2, 0)",2,3,2,3,4,1
212221,Cb D# En F# G# A# Bn,D# Cb Bn En F# G# A#,B3468AB,013578,6-26,"(0, 2, 1, 2, 2, 2, 1)",2,3,2,3,4,1
212222,Cb D# En F# G# A# B#,D# Cb B# En F# G# A#,B3468A0,0124689,7-30,"(0, 2, 1, 2, 2, 2, 2)",3,4,3,5,4,2
220000,Cb D# E# Fb Gb Ab Bb,D# Cb Bb E# Fb Gb Ab,B35468A,0123578,7-14,"(0, 2, 2, 0, 0, 0, 0)",4,4,3,3,5,2
220001,Cb D# E# Fb Gb Ab Bn,D# Cb Bn E# Fb Gb Ab,B35468B,012358,6-40,"(0, 2, 2, 0, 0, 0, 1)",3,3,3,2,3,1
220002,Cb D# E# Fb Gb Ab B#,D# Cb B# E# Fb Gb Ab,B354680,0123589,7-18,"(0, 2, 2, 0, 0, 0, 2)",4,3,4,4,4,2
220010,Cb D# E# Fb Gb An Bb,D# Cb Bb E# Fb Gb An,B35469A,0123678,7-7,"(0, 2, 2, 0, 0, 1, 0)",5,3,2,3,5,3
220011,Cb D# E# Fb Gb An Bn,D# Cb Bn E# Fb Gb An,B35469B,012368,6-41,"(0, 2, 2, 0, 0, 1, 1)",3,3,2,2,3,2
220012,Cb D# E# Fb Gb An B#,D# Cb B# E# Fb Gb An,B354690,0123679,7-19,"(0, 2, 2, 0, 0, 1, 2)",4,3,4,3,4,3
220020,Cb D# E# Fb Gb A# Bb,D# Cb Bb E# Fb Gb A#,B3546AA,012378,6-38,"(0, 2, 2, 0, 0, 2, 0)",4,2,1,2,4,2
220021,Cb D# E# Fb Gb A# Bn,D# Cb Bn E# Fb Gb A#,B3546AB,012378,6-38,"(0, 2, 2, 0, 0, 2, 1)",4,2,1,2,4,2
220022,Cb D# E# Fb Gb A# B#,D# Cb B# E# Fb Gb A#,B3546A0,0123678,7-7,"(0, 2, 2, 0, 0, 2, 2)",5,3,2,3,5,3
220100,Cb D# E# Fb Gn Ab Bb,D# Cb Bb E# Fb Gn Ab,B35478A,0124578,7-38,"(0, 2, 2, 0, 1, 0, 0)",4,3,4,4,4,2
220101,Cb D# E# Fb Gn Ab Bn,D# Cb Bn E# Fb Gn Ab,B35478B,012458,6-15,"(0, 2, 2, 0, 1, 0, 1)",3,2,3,4,2,1
220102,Cb D# E# Fb Gn Ab B#,D# Cb B# E# Fb Gn Ab,B354780,0124589,7-21,"(0, 2, 2, 0, 1, 0, 2)",4,2,4,6,4,1
220110,Cb D# E# Fb Gn An Bb,D# Cb Bb E# Fb Gn An,B35479A,0124678,7-15,"(0, 2, 2, 0, 1, 1, 0)",4,4,2,4,4,3
220111,Cb D# E# Fb Gn An Bn,D# Cb Bn E# Fb Gn An,B35479B,012468,6-22,"(0, 2, 2, 0, 1, 1, 1)",2,4,1,4,2,2
220112,Cb D# E# Fb Gn An B#,D# Cb B# E# Fb Gn An,B354790,0124689,7-30,"(0, 2, 2, 0, 1, 1, 2)",3,4,3,5,4,2
220120,Cb D# E# Fb Gn A# Bb,D# Cb Bb E# Fb Gn A#,B3547AA,012478,6-17,"(0, 2, 2, 0, 1, 2, 0)",3,2,2,3,3,2
220121,Cb D# E# Fb Gn A# Bn,D# Cb Bn E# Fb Gn A#,B3547AB,012478,6-17,"(0, 2, 2, 0, 1, 2, 1)",3,2,2,3,3,2
220122,Cb D# E# Fb Gn A# B#,D# Cb B# E# Fb Gn A#,B3547A0,0125679,7-20,"(0, 2, 2, 0, 1, 2, 2)",4,3,3,4,5,2
220200,Cb D# E# Fb G# Ab Bb,D# Cb Bb E# Fb G# Ab,B35488A,012578,6-18,"(0, 2, 2, 0, 2, 0, 0)",3,2,2,2,4,2
220201,Cb D# E# Fb G# Ab Bn,D# Cb Bn E# Fb G# Ab,B35488B,01258,5-38,"(0, 2, 2, 0, 2, 0, 1)",2,1,2,2,2,1
220202,Cb D# E# Fb G# Ab B#,D# Cb B# E# Fb G# Ab,B354880,012569,6-44,"(0, 2, 2, 0, 2, 0, 2)",3,1,3,4,3,1
220210,Cb D# E# Fb G# An Bb,D# Cb Bb E# Fb G# An,B35489A,0123678,7-7,"(0, 2, 2, 0, 2, 1, 0)",5,3,2,3,5,3
220211,Cb D# E# Fb G# An Bn,D# Cb Bn E# Fb G# An,B35489B,012568,6-43,"(0, 2, 2, 0, 2, 1, 1)",3,2,2,3,3,2
220212,Cb D# E# Fb G# An B#,D# Cb B# E# Fb G# An,B354890,0125689,7-22,"(0, 2, 2, 0, 2, 1, 2)",4,2,4,5,4,2
220220,Cb D# E# Fb G# A# Bb,D# Cb Bb E# Fb G# A#,B3548AA,012578,6-18,"(0, 2, 2, 0, 2, 2, 0)",3,2,2,2,4,2
220221,Cb D# E# Fb G# A# Bn,D# Cb Bn E# Fb G# A#,B3548AB,012578,6-18,"(0, 2, 2, 0, 2, 2, 1)",3,2,2,2,4,2
220222,Cb D# E# Fb G# A# B#,D# Cb B# E# Fb G# A#,B3548A0,0125679,7-20,"(0, 2, 2, 0, 2, 2, 2)",4,3,3,4,5,2
221000,Cb D# E# Fn Gb Ab Bb,D# Cb Bb E# Fn Gb Ab,B35568A,013568,6-25,"(0, 2, 2, 1, 0, 0, 0)",2,3,3,2,4,1
221001,Cb D# E# Fn Gb Ab Bn,D# Cb Bn E# Fn Gb Ab,B35568B,02358,5-25,"(0, 2, 2, 1, 0, 0, 1)",1,2,3,1,2,1
221002,Cb D# E# Fn Gb Ab B#,D# Cb B# E# Fn Gb Ab,B355680,014679,6-50,"(0, 2, 2, 1, 0, 0, 2)",2,2,4,2,3,2
221010,Cb D# E# Fn Gb An Bb,D# Cb Bb E# Fn Gb An,B35569A,012568,6-43,"(0, 2, 2, 1, 0, 1, 0)",3,2,2,3,3,2
221011,Cb D# E# Fn Gb An Bn,D# Cb Bn E# Fn Gb An,B35569B,02368,5-28,"(0, 2, 2, 1, 0, 1, 1)",1,2,2,2,1,2
221012,Cb D# E# Fn Gb An B#,D# Cb B# E# Fn Gb An,B355690,013679,6-30,"(0, 2, 2, 1, 0, 1, 2)",2,2,4,2,2,3
221020,Cb D# E# Fn Gb A# Bb,D# Cb Bb E# Fn Gb A#,B3556AA,01568,5-20,"(0, 2, 2, 1, 0, 2, 0)",2,1,1,2,3,1
221021,Cb D# E# Fn Gb A# Bn,D# Cb Bn E# Fn Gb A#,B3556AB,01568,5-20,"(0, 2, 2, 1, 0, 2, 1)",2,1,1,2,3,1
221022,Cb D# E# Fn Gb A# B#,D# Cb B# E# Fn Gb A#,B3556A0,012578,6-18,"(0, 2, 2, 1, 0, 2, 2)",3,2,2,2,4,2
221100,Cb D# E# Fn Gn Ab Bb,D# Cb Bb E# Fn Gn Ab,B35578A,013468,6-24,"(0, 2, 2, 1, 1, 0, 0)",2,3,3,3,3,1
221101,Cb D# E# Fn Gn Ab Bn,D# Cb Bn E# Fn Gn Ab,B35578B,02458,5-26,"(0, 2, 2, 1, 1, 0, 1)",1,2,2,3,1,1
221102,Cb D# E# Fn Gn Ab B#,D# Cb B# E# Fn Gn Ab,B355780,014579,6-31,"(0, 2, 2, 1, 1, 0, 2)",2,2,3,4,3,1
221110,Cb D# E# Fn Gn An Bb,D# Cb Bb E# Fn Gn An,B35579A,012468,6-22,"(0, 2, 2, 1, 1, 1, 0)",2,4,1,4,2,2
221111,Cb D# E# Fn Gn An Bn,D# Cb Bn E# Fn Gn An,B35579B,02468,5-33,"(0, 2, 2, 1, 1, 1, 1)",0,4,0,4,0,2
221112,Cb D# E# Fn Gn An B#,D# Cb B# E# Fn Gn An,B355790,013579,6-34,"(0, 2, 2, 1, 1, 1, 2)",1,4,2,4,2,2
221120,Cb D# E# Fn Gn A# Bb,D# Cb Bb E# Fn Gn A#,B3557AA,01468,5-30,"(0, 2, 2, 1, 1, 2, 0)",1,2,1,3,2,1
221121,Cb D# E# Fn Gn A# Bn,D# Cb Bn E# Fn Gn A#,B3557AB,01468,5-30,"(0, 2, 2, 1, 1, 2, 1)",1,2,1,3,2,1
221122,Cb D# E# Fn Gn A# B#,D# Cb B# E# Fn Gn A#,B3557A0,012579,6-48,"(0, 2, 2, 1, 1, 2, 2)",2,3,2,3,4,1
221200,Cb D# E# Fn G# Ab Bb,D# Cb Bb E# Fn G# Ab,B35588A,01368,5-29,"(0, 2, 2, 1, 2, 0, 0)",1,2,2,1,3,1
221201,Cb D# E# Fn G# Ab Bn,D# Cb Bn E# Fn G# Ab,B35588B,0258,4-27,"(0, 2, 2, 1, 2, 0, 1)",0,1,2,1,1,1
221202,Cb D# E# Fn G# Ab B#,D# Cb B# E# Fn G# Ab,B355880,01469,5-32,"(0, 2, 2, 1, 2, 0, 2)",1,1,3,2,2,1
221210,Cb D# E# Fn G# An Bb,D# Cb Bb E# Fn G# An,B35589A,012368,6-41,"(0, 2, 2, 1, 2, 1, 0)",3,3,2,2,3,2
221211,Cb D# E# Fn G# An Bn,D# Cb Bn E# Fn G# An,B35589B,02368,5-28,"(0, 2, 2, 1, 2, 1, 1)",1,2,2,2,1,2
221212,Cb D# E# Fn G# An B#,D# Cb B# E# Fn G# An,B355890,013479,6-49,"(0, 2, 2, 1, 2, 1, 2)",2,2,4,3,2,2
221220,Cb D# E# Fn G# A# Bb,D# Cb Bb E# Fn G# A#,B3558AA,01368,5-29,"(0, 2, 2, 1, 2, 2, 0)",1,2,2,1,3,1
221221,Cb D# E# Fn G# A# Bn,D# Cb Bn E# Fn G# A#,B3558AB,01368,5-29,"(0, 2, 2, 1, 2, 2, 1)",1,2,2,1,3,1
221222,Cb D# E# Fn G# A# B#,D# Cb B# E# Fn G# A#,B3558A0,012479,6-47,"(0, 2, 2, 1, 2, 2, 2)",2,3,3,2,4,1
222000,Cb D# E# F# Gb Ab Bb,D# Cb Bb E# F# Gb Ab,B35668A,013568,6-25,"(0, 2, 2, 2, 0, 0, 0)",2,3,3,2,4,1
222001,Cb D# E# F# Gb Ab Bn,D# Cb Bn E# F# Gb Ab,B35668B,02358,5-25,"(0, 2, 2, 2, 0, 0, 1)",1,2,3,1,2,1
222002,Cb D# E# F# Gb Ab B#,D# Cb B# E# F# Gb Ab,B356680,014679,6-50,"(0, 2, 2, 2, 0, 0, 2)",2,2,4,2,3,2
222010,Cb D# E# F# Gb An Bb,D# Cb Bb E# F# Gb An,B35669A,012568,6-43,"(0, 2, 2, 2, 0, 1, 0)",3,2,2,3,3,2
222011,Cb D# E# F# Gb An Bn,D# Cb Bn E# F# Gb An,B35669B,02368,5-28,"(0, 2, 2, 2, 0, 1, 1)",1,2,2,2,1,2
222012,Cb D# E# F# Gb An B#,D# Cb B# E# F# Gb An,B356690,013679,6-30,"(0, 2, 2, 2, 0, 1, 2)",2,2,4,2,2,3
222020,Cb D# E# F# Gb A# Bb,D# Cb Bb E# F# Gb A#,B3566AA,01568,5-20,"(0, 2, 2, 2, 0, 2, 0)",2,1,1,2,3,1
222021,Cb D# E# F# Gb A# Bn,D# Cb Bn E# F# Gb A#,B3566AB,01568,5-20,"(0, 2, 2, 2, 0, 2, 1)",2,1,1,2,3,1
222022,Cb D# E# F# Gb A# B#,D# Cb B# E# F# Gb A#,B3566A0,012578,6-18,"(0, 2, 2, 2, 0, 2, 2)",3,2,2,2,4,2
222100,Cb D# E# F# Gn Ab Bb,D# Cb Bb E# F# Gn Ab,B35678A,0134568,7-11,"(0, 2, 2, 2, 1, 0, 0)",4,4,4,4,4,1
222101,Cb D# E# F# Gn Ab Bn,D# Cb Bn E# F# Gn Ab,B35678B,023458,6-39,"(0, 2, 2, 2, 1, 0, 1)",3,3,3,3,2,1
222102,Cb D# E# F# Gn Ab B#,D# Cb B# E# F# Gn Ab,B356780,0123589,7-18,"(0, 2, 2, 2, 1, 0, 2)",4,3,4,4,4,2
222110,Cb D# E# F# Gn An Bb,D# Cb Bb E# F# Gn An,B35679A,0124568,7-13,"(0, 2, 2, 2, 1, 1, 0)",4,4,3,5,3,2
222111,Cb D# E# F# Gn An Bn,D# Cb Bn E# F# Gn An,B35679B,023468,6-21,"(0, 2, 2, 2, 1, 1, 1)",2,4,2,4,1,2
222112,Cb D# E# F# Gn An B#,D# Cb B# E# F# Gn An,B356790,0135679,7-28,"(0, 2, 2, 2, 1, 1, 2)",3,4,4,4,3,3
222120,Cb D# E# F# Gn A# Bb,D# Cb Bb E# F# Gn A#,B3567AA,014568,6-16,"(0, 2, 2, 2, 1, 2, 0)",3,2,2,4,3,1
222121,Cb D# E# F# Gn A# Bn,D# Cb Bn E# F# Gn A#,B3567AB,014568,6-16,"(0, 2, 2, 2, 1, 2, 1)",3,2,2,4,3,1
222122,Cb D# E# F# Gn A# B#,D# Cb B# E# F# Gn A#,B3567A0,0125679,7-20,"(0, 2, 2, 2, 1, 2, 2)",4,3,3,4,5,2
222200,Cb D# E# F# G# Ab Bb,D# Cb Bb E# F# G# Ab,B35688A,013568,6-25,"(0, 2, 2, 2, 2, 0, 0)",2,3,3,2,4,1
222201,Cb D# E# F# G# Ab Bn,D# Cb Bn E# F# G# Ab,B35688B,02358,5-25,"(0, 2, 2, 2, 2, 0, 1)",1,2,3,1,2,1
222202,Cb D# E# F# G# Ab B#,D# Cb B# E# F# G# Ab,B356880,014679,6-50,"(0, 2, 2, 2, 2, 0, 2)",2,2,4,2,3,2
222210,Cb D# E# F# G# An Bb,D# Cb Bb E# F# G# An,B35689A,0123568,7-36,"(0, 2, 2, 2, 2, 1, 0)",4,4,4,3,4,2
222211,Cb D# E# F# G# An Bn,D# Cb Bn E# F# G# An,B35689B,023568,6-23,"(0, 2, 2, 2, 2, 1, 1)",2,3,4,2,2,2
222212,Cb D# E# F# G# An B#,D# Cb B# E# F# G# An,B356890,0134679,7-31,"(0, 2, 2, 2, 2, 1, 2)",3,3,6,3,3,3
222220,Cb D# E# F# G# A# Bb,D# Cb Bb E# F# G# A#,B3568AA,013568,6-25,"(0, 2, 2, 2, 2, 2, 0)",2,3,3,2,4,1
222221,Cb D# E# F# G# A# Bn,D# Cb Bn E# F# G# A#,B3568AB,013568,6-25,"(0, 2, 2, 2, 2, 2, 1)",2,3,3,2,4,1
222222,Cb D# E# F# G# A# B#,D# Cb B# E# F# G# A#,B3568A0,0124679,7-29,"(0, 2, 2, 2, 2, 2, 2)",3,4,4,3,5,2
1000000,Cn Db Eb Fb Gb Ab Bb,Db Cn Bb Eb Fb Gb Ab,013468A,013468A,7-34,"(1, 0, 0, 0, 0, 0, 0)",2,5,4,4,4,2
1000001,Cn Db Eb Fb Gb Ab Bn,Db Cn Bn Eb Fb Gb Ab,013468B,0124579,7-27,"(1, 0, 0, 0, 0, 0, 1)",3,4,4,4,5,1
1000002,Cn Db Eb Fb Gb Ab B#,Db Cn B# Eb Fb Gb Ab,0134680,013468,6-24,"(1, 0, 0, 0, 0, 0, 2)",2,3,3,3,3,1
1000010,Cn Db Eb Fb Gb An Bb,Db Cn Bb Eb Fb Gb An,013469A,0134679,7-31,"(1, 0, 0, 0, 0, 1, 0)",3,3,6,3,3,3
1000011,Cn Db Eb Fb Gb An Bn,Db Cn Bn Eb Fb Gb An,013469B,0234679,7-25,"(1, 0, 0, 0, 0, 1, 1)",3,4,5,3,4,2
1000012,Cn Db Eb Fb Gb An B#,Db Cn B# Eb Fb Gb An,0134690,013469,6-27,"(1, 0, 0, 0, 0, 1, 2)",2,2,5,2,2,2
1000020,Cn Db Eb Fb Gb A# Bb,Db Cn Bb Eb Fb Gb A#,01346AA,023568,6-23,"(1, 0, 0, 0, 0, 2, 0)",2,3,4,2,2,2
1000021,Cn Db Eb Fb Gb A# Bn,Db Cn Bn Eb Fb Gb A#,01346AB,0123568,7-36,"(1, 0, 0, 0, 0, 2, 1)",4,4,4,3,4,2
1000022,Cn Db Eb Fb Gb A# B#,Db Cn B# Eb Fb Gb A#,01346A0,023568,6-23,"(1, 0, 0, 0, 0, 2, 2)",2,3,4,2,2,2
